Player Id,This week,Last week,End 2020,Ctry,First Name, Last Name,avg_pts,Total pts,Events played (divisor),points lost,points gained,Events played (actual),Week, Weekend date,
12422,1,1,1,USA,Dustin,Johnson,9.976,409.02,41,-187.9,90.11,41,24,13th June 2021,
14139,2,2,3,USA,Justin,Thomas,8.1075,397.27,49,-162.49,137.76,49,24,13th June 2021,
19195,3,3,2,ESP,Jon,Rahm,8.0607,386.91,48,-185.26,103.03,48,24,13th June 2021,
22085,4,4,7,USA,Collin,Morikawa,7.2854,356.99,49,-97.09,173.76,49,24,13th June 2021,
19841,5,5,5,USA,Bryson,DeChambeau,6.8553,335.91,49,-123.8,125.94,49,24,13th June 2021,
19895,6,6,8,USA,Xander,Schauffele,6.7535,317.42,47,-132.26,125.44,47,24,13th June 2021,
15466,7,7,9,USA,Patrick,Cantlay,6.3247,265.64,42,-111.31,128.11,42,24,13th June 2021,
14838,8,9,11,USA,Patrick,Reed,6.0453,314.36,52,-122.44,129.91,61,24,13th June 2021,
14796,9,11,10,ENG,Tyrrell,Hatton,5.9846,281.27,47,-101.44,93.99,47,24,13th June 2021,
16243,10,8,12,USA,Brooks,Koepka,5.8793,241.05,41,-125.35,142.45,41,24,13th June 2021,
10091,11,10,4,NIR,Rory,McIlroy,5.813,279.02,48,-161.92,119.48,48,24,13th June 2021,
11049,12,12,6,USA,Webb,Simpson,5.4735,229.89,42,-115.52,57.66,42,24,13th June 2021,
18841,13,13,14,NOR,Viktor,Hovland,5.2355,267.01,51,-62.11,133.42,51,24,13th June 2021,
11676,14,14,19,USA,Tony,Finau,5.0259,261.35,52,-96.08,146.57,58,24,13th June 2021,
13562,15,15,20,JPN,Hideki,Matsuyama,4.9115,255.4,52,-87.1,129.73,56,24,13th June 2021,
17606,16,16,13,USA,Daniel,Berger,4.6983,220.82,47,-69.43,87.89,47,24,13th June 2021,
18417,17,17,31,USA,Scottie,Scheffler,4.4696,232.42,52,-60.31,133.61,61,24,13th June 2021,
7672,18,18,22,RSA,Louis,Oosthuizen,4.3835,197.26,45,-80.76,92.79,45,24,13th June 2021,
7108,19,20,24,ENG,Paul,Casey,4.2947,210.44,49,-89.98,129.08,49,24,13th June 2021,
17646,20,21,16,ENG,Matthew,Fitzpatrick,4.2937,223.27,52,-90.31,75.85,57,24,13th June 2021,
18238,21,19,23,MEX,Abraham,Ancer,4.2688,221.98,52,-74.78,105.65,59,24,13th June 2021,
12337,22,24,26,USA,Jason,Kokrak,4.1923,213.81,51,-62.98,108.74,51,24,13th June 2021,
11276,23,22,42,USA,Billy,Horschel,4.1742,217.06,52,-57.47,134.21,55,24,13th June 2021,
14636,24,23,82,USA,Jordan,Spieth,4.1387,215.21,52,-40.63,178.53,52,24,13th June 2021,
14577,25,26,28,USA,Harris,English,3.818,198.54,52,-58.35,88,55,24,13th June 2021,
17488,26,25,18,KOR,Sungjae,Im,3.7071,192.77,52,-87.83,62.09,72,24,13th June 2021,
4052,27,27,36,ENG,Lee,Westwood,3.6408,182.04,50,-47.82,96.96,50,24,13th June 2021,
15856,28,28,27,AUS,Cameron,Smith,3.5558,174.23,49,-57.25,65.01,49,24,13th June 2021,
19428,29,29,59,USA,Will,Zalatoris,3.4317,171.59,50,-26.22,115.99,50,24,13th June 2021,
