Player Id,This week,Last week,End 2020,Ctry,First Name, Last Name,avg_pts,Total pts,Events played (divisor),points lost,points gained,Events played (actual),Week, Weekend date,
12422,1,1,1,USA,Dustin,Johnson,10.0394,411.62,41,-180.54,85.36,41,23,6th June 2021,
14139,2,2,3,USA,Justin,Thomas,8.2543,404.46,49,-155.29,137.76,49,23,6th June 2021,
19195,3,3,2,ESP,Jon,Rahm,8.0516,394.53,49,-177.64,103.03,49,23,6th June 2021,
22085,4,6,7,USA,Collin,Morikawa,7.3865,361.94,49,-92.14,173.76,49,23,6th June 2021,
19841,5,4,5,USA,Bryson,DeChambeau,6.9669,341.38,49,-118.33,125.94,49,23,6th June 2021,
19895,6,5,8,USA,Xander,Schauffele,6.8705,322.91,47,-126.76,125.44,47,23,6th June 2021,
15466,7,15,9,USA,Patrick,Cantlay,6.4402,270.49,42,-106.46,128.11,42,23,6th June 2021,
16243,8,7,12,USA,Brooks,Koepka,6.1684,246.74,40,-119.66,142.45,40,23,6th June 2021,
14838,9,9,11,USA,Patrick,Reed,6.1463,319.61,52,-116.9,129.91,62,23,6th June 2021,
10091,10,8,4,NIR,Rory,McIlroy,5.9288,284.58,48,-156.36,119.48,48,23,6th June 2021,
14796,11,10,10,ENG,Tyrrell,Hatton,5.8263,273.84,47,-96.72,81.83,47,23,6th June 2021,
11049,12,11,6,USA,Webb,Simpson,5.4604,234.8,43,-110.61,57.66,43,23,6th June 2021,
18841,13,12,14,NOR,Viktor,Hovland,5.3047,270.54,51,-58.58,133.42,51,23,6th June 2021,
11676,14,13,19,USA,Tony,Finau,5.1037,265.39,52,-91.43,146.57,58,23,6th June 2021,
13562,15,14,20,JPN,Hideki,Matsuyama,4.9746,258.68,52,-83.69,129.73,56,23,6th June 2021,
17606,16,16,13,USA,Daniel,Berger,4.7681,224.1,47,-66.15,87.89,47,23,6th June 2021,
18417,17,24,31,USA,Scottie,Scheffler,4.5154,234.8,52,-57.49,133.61,62,23,6th June 2021,
7672,18,19,22,RSA,Louis,Oosthuizen,4.3597,200.54,46,-77.47,92.79,46,23,6th June 2021,
18238,19,17,23,MEX,Abraham,Ancer,4.3256,224.93,52,-71.68,105.65,59,23,6th June 2021,
7108,20,21,24,ENG,Paul,Casey,4.2877,214.38,50,-86.04,129.08,50,23,6th June 2021,
17646,21,18,16,ENG,Matthew,Fitzpatrick,4.2735,222.22,52,-86.5,71.1,56,23,6th June 2021,
11276,22,20,42,USA,Billy,Horschel,4.2234,219.62,52,-54.85,134.21,55,23,6th June 2021,
14636,23,23,82,USA,Jordan,Spieth,4.1786,217.29,52,-38.56,178.53,52,23,6th June 2021,
12337,24,22,26,USA,Jason,Kokrak,4.1656,216.61,52,-60.18,108.74,52,23,6th June 2021,
17488,25,25,18,KOR,Sungjae,Im,3.8243,198.87,52,-84.04,60.72,72,23,6th June 2021,
